"","pl_name","hostname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","pl_orbper","pl_orbsmax","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_spectype","st_teff","st_rad","st_mass","st_met","st_logg","rastr","ra","decstr","dec","sy_dist","sy_vmagerr2","sy_kmag","sy_gaiamag","pl_pubdate"
"325","HD 73267 b","HD 73267",1,2,"Radial Velocity",2008,"La Silla Observatory",1257.2,2.195,NA,1462.01067,4.6,"Mass",0.2625,NA,NA,0,"K0 V",5317,NA,0.89,0.03,4.28,"08h36m17.64s",129.0735123,"-34d27m34.01s",-34.4594469,50.4093,-0.03,7.062,8.67835,"2023-05"
"326","HD 73267 c","HD 73267",1,2,"Radial Velocity",2022,"Multiple Observatories",13900,11,NA,1398.44499,4.4,"Mass",0.134,NA,NA,0,"K0 V",5317,NA,0.89,0.03,4.28,"08h36m17.64s",129.0735123,"-34d27m34.01s",-34.4594469,50.4093,-0.03,7.062,8.67835,"2023-05"
"327","HD 73583 b","HD 73583",1,2,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",6.39805,0.072,0.222,NA,NA,"",NA,NA,655,0,"K4 V",4511,0.65,0.73,0,4.62,"08h38m45.19s",129.6883026,"-13d15m23.50s",-13.2565267,31.5666,-0.03,6.948,9.27033,"2023-03"
"329","HD 73583 c","HD 73583",1,2,"Transit",2022,"Transiting Exoplanet Survey Satellite (TESS)",18.8805,0.1233,0.243,22.5,0.07079,"Mass",0.093,11.76,518,0,"K4",4582,0.68,0.7,-0.055,4.62,"08h38m45.19s",129.6883026,"-13d15m23.50s",-13.2565267,31.5666,-0.03,6.948,9.27033,"2023-01"
"330","HD 74156 c","HD 74156",1,2,"Radial Velocity",2003,"Haute-Provence Observatory",2446,3.823,NA,3127.43152,9.84,"Mass",0.3805,NA,NA,0,"G0",6068,NA,1.24,0.131,4.26,"08h42m25.15s",130.6047813,"+04d34m38.04s",4.5772338,57.603,-0.03,6.209,7.46934,"2023-05"
"331","HD 74698 b","HD 74698",1,2,"Radial Velocity",2023,"La Silla Observatory",15.017,0.121,NA,23,0.07,"Msini",0.1,123,NA,0,"G5 V",5783,1.33,1.04,0.07,4.12,"08h40m17.87s",130.0744755,"-71d52m36.74s",-71.8768726,52.0648,-0.03,6.23,7.60959,"2023-06"
"332","HD 74698 c","HD 74698",1,2,"Radial Velocity",2023,"La Silla Observatory",3449,4.5,NA,126,0.4,"Msini",0.2,0.09,NA,0,"G5 V",5783,1.33,1.04,0.07,4.12,"08h40m17.87s",130.0744755,"-71d52m36.74s",-71.8768726,52.0648,-0.03,6.23,7.60959,"2023-06"
"333","HD 75302 b","HD 75302",1,1,"Radial Velocity",2023,"La Silla Observatory",4356,5.3,NA,1716.2734,5.4,"Mass",0.39,NA,NA,0,"G5 V",NA,NA,1.06,NA,NA,"08h49m12.38s",132.3015641,"+03d29m06.05s",3.4850141,30.3288,-0.03,5.84,7.283,"2023-08"
"334","HD 76920 b","HD 76920",1,1,"Radial Velocity",2017,"Multiple Observatories",NA,1.165,NA,1134.64741,3.57,"Msini",NA,NA,NA,0,"K1 III",4664,8.68,1.22,-0.19,2.65,"08h55m16.88s",133.820353,"-67d15m55.30s",-67.2653621,184.031,-0.03,5.253,7.5144,"2023-03"
"335","HD 80653 b","HD 80653",1,2,"Transit",2020,"K2",0.719573,0.01661,0.144,5.72,0.018,"Mass",0,6130,2463,0,"",5959,1.22,1.18,0.255,NA,"09h21m21.38s",140.3390845,"+14d22m04.33s",14.3678691,109.86,-0.003,8.018,9.30733,"2023-04"
"336","HD 80869 b","HD 80869",1,1,"Radial Velocity",2021,"Haute-Provence Observatory",1711,2.877,NA,1802.08707,5.67,"Mass",0.871,NA,NA,0,"G5",5837,NA,1.08,0.17,4.18,"09h23m09.91s",140.7912931,"+33d54m17.39s",33.9048294,85.3951,-0.03,6.914,8.33173,"2023-05"
"337","HD 81040 b","HD 81040",1,1,"Radial Velocity",2005,"Multiple Observatories",851,NA,NA,2510.84442,7.9,"Mass",0.37,NA,NA,0,"",NA,NA,NA,NA,NA,"09h23m46.92s",140.9455027,"+20d21m52.59s",20.3646078,34.4341,-0.03,6.159,7.55543,"2023-06"
"338","HD 81688 b","HD 81688",1,1,"Radial Velocity",2007,"Okayama Astrophysical Observatory",183.93,0.648,NA,525.68819,1.654,"Msini",0.04,NA,NA,0,"K0 III-IV",4797,11.13,1.07,-0.32,2.37,"09h28m39.98s",142.1665753,"+45d36m03.33s",45.6009241,85.7183,-0.023,3.056,5.12598,"2023-08"
"339","HD 86226 c","HD 86226",1,2,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",3.9846654,NA,NA,NA,NA,"",0.075,NA,NA,0,"G1 V",5863,1.05,1.02,0.018,4.4,"09h56m29.64s",149.1235154,"-24d05m57.07s",-24.0991859,45.683,-0.03,6.463,7.7713,"2023-03"
"340","HD 86264 b","HD 86264",1,1,"Radial Velocity",2009,"Lick Observatory",1480,2.873,NA,3909.28941,12.3,"Mass",0.77,NA,NA,0,"F7 V",6210,NA,1.42,0.202,4.02,"09h56m57.82s",149.2409308,"-15d53m43.44s",-15.8953993,67.8107,-0.03,6.224,7.28372,"2023-05"
"341","HD 88986 b","HD 88986",1,1,"Radial Velocity",2023,"Haute-Provence Observatory",146.05,0.58,0.222,17.2,0.05412,"Mass",0.24,NA,460,0,"G2 V",5861,1.54,1.25,0.06,4.16,"10h16m28.00s",154.1166869,"+28d40m55.45s",28.6820708,33.2673,-0.023,4.884,6.30259,"2023-11"
"342","HD 89307 b","HD 89307",1,1,"Radial Velocity",2009,"Lick Observatory",2188,3.331,NA,642.01338,2.02,"Mass",0.174,NA,NA,0,"G0 V",5950,NA,1.03,-0.14,4.41,"10h18m21.00s",154.5874958,"+12d37m15.38s",12.6209392,32.0104,-0.023,5.564,6.86817,"2023-05"
"343","HD 89345 b","HD 89345",1,1,"Transit",2018,"K2",11.814417,NA,NA,NA,NA,"",0.2,NA,NA,0,"",5499,1.66,1.12,0.45,4.04,"10h18m41.06s",154.6710977,"+10d07m43.85s",10.1288464,132.345,-0.03,7.721,9.21702,"2023-03"
"344","HD 89839 b","HD 89839",1,1,"Radial Velocity",2023,"Multiple Facilities",3441,4.761,NA,1592.32032,5.01,"Mass",0.187,NA,NA,0,"F7 V",6314,NA,1.21,0.04,4.49,"10h20m40.53s",155.168879,"-53d39m50.50s",-53.6640291,57.3063,-0.03,6.362,7.51304,"2023-05"
"346","HD 94771 b","HD 94771",1,1,"Radial Velocity",2023,"La Silla Observatory",2164,3.48,NA,169,0.53,"Msini",0.39,0.27,NA,0,"G3/G5 V",5631,1.9,1.2,0.22,3.94,"10h55m53.92s",163.9746776,"-35d06m52.28s",-35.1145225,57.7807,-0.03,5.632,7.17929,"2023-06"
"347","HD 95544 b","HD 95544",1,1,"Radial Velocity",2021,"Haute-Provence Observatory",2170,3.383,NA,2459.99187,7.74,"Mass",0.037,NA,NA,0,"G0",5722,NA,1.09,0.11,4.07,"11h05m17.56s",166.3231784,"+81d02m20.35s",81.0389868,87.8049,-0.03,6.771,8.210671,"2023-05"
"348","HD 97658 b","HD 97658",1,1,"Radial Velocity",2010,"W. M. Keck Observatory",9.4893037,NA,NA,NA,NA,"",NA,NA,NA,0,"",5170,0.68,0.78,-0.23,4.63,"11h14m33.04s",168.6376584,"+25d42m38.15s",25.7105962,21.5618,-0.03,5.734,7.5136,"2023-03"
"349","HD 99492 b","HD 99492",2,2,"Radial Velocity",2004,"W. M. Keck Observatory",17.0503,NA,NA,25.5,0.08023,"Msini",0.034,NA,NA,0,"K2 V",4929,NA,0.85,0.3,4.57,"11h26m45.52s",171.689687,"+03d00m25.68s",3.0071331,18.2038,-0.023,5.256,7.26005,"2023-08"
"350","HD 99492 c","HD 99492",2,2,"Radial Velocity",2023,"Roque de los Muchachos Observatory",95.233,NA,NA,17.9,0.05632,"Msini",0.063,NA,NA,0,"K2 V",4929,NA,0.85,0.3,4.57,"11h26m45.52s",171.689687,"+03d00m25.68s",3.0071331,18.2038,-0.023,5.256,7.26005,"2023-08"
"351","HIP 113103 b","HIP 113103",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",7.610303,0.06899,0.163,NA,NA,"",0.17,NA,721,0,"",4930,0.74,0.76,-0.1,4.6,"22h54m17.37s",343.5723794,"-43d00m36.82s",-43.0102291,46.2122,-0.03,7.557,9.61752,"2023-09"
"352","HIP 113103 c","HIP 113103",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",14.245648,0.10479,0.214,NA,NA,"",0.17,NA,585,0,"",4930,0.74,0.76,-0.1,4.6,"22h54m17.37s",343.5723794,"-43d00m36.82s",-43.0102291,46.2122,-0.03,7.557,9.61752,"2023-09"
"353","HIP 116454 b","HIP 116454",2,1,"Transit",2014,"K2",9.0949,0.07765,0.226,10.1,0.03178,"Mass",0.089,51.4,745,0,"",5089,0.72,0.76,-0.16,NA,"23h35m49.04s",353.9543517,"+00d26m40.94s",0.4447043,62.4491,-0.03,8.029,9.93208,"2023-04"
"354","HIP 29442 c","HD 42813",1,3,"Radial Velocity",2023,"Paranal Observatory",3.53796,0.0436,0.141,4.5,0.01416,"Mass",NA,373,1217,0,"",5289,0.98,0.89,0.24,4.39,"06h12m13.88s",93.0578446,"-14d38m57.54s",-14.6493167,68.192,-0.03,7.587,9.27468,"2023-08"
"355","HIP 29442 d","HD 42813",1,3,"Radial Velocity",2023,"Paranal Observatory",6.42975,0.0649,0.122,5.1,0.01605,"Mass",NA,167,998,0,"",5289,0.98,0.89,0.24,4.39,"06h12m13.88s",93.0578446,"-14d38m57.54s",-14.6493167,68.192,-0.03,7.587,9.27468,"2023-08"
"356","HIP 54597 b","HIP 54597",1,1,"Radial Velocity",2023,"La Silla Observatory",3250,3.81,NA,639,2.01,"Msini",0.04,0.01,NA,0,"K5 V",4799,0.66,0.69,-0.22,4.43,"11h10m25.97s",167.6082179,"-29d24m51.49s",-29.4143018,39.7429,-0.03,7.276,9.4828,"2023-06"
"358","HIP 56640 b","HIP 56640",1,1,"Radial Velocity",2021,"Multiple Observatories",2620,3.77,NA,1779.83908,5.6,"Mass",0.101,NA,NA,0,"K1 III",4769,NA,1.04,-0.03,2.91,"11h36m48.21s",174.2008941,"-37d02m20.89s",-37.0391349,122.324,-0.03,5.493,7.64993,"2023-05"
"359","HIP 65 A b","HIP 65 A",2,1,"Transit",2020,"Transiting Exoplanet Survey Satellite (TESS)",0.98097217,NA,NA,NA,NA,"",NA,NA,NA,0,"K4 V",4590,0.72,0.78,0.18,4.61,"00h00m44.55s",0.1856063,"-54d49m50.96s",-54.8308228,61.7856,-0.03,8.29,10.5895,"2023-03"
"360","HIP 66074 b","HIP 66074",1,1,"Astrometry",2023,"European Space Agency (ESA) Gaia Satellite",310.9,0.799,NA,1589.14204,5,"Mass",0.948,NA,NA,0,"",4300,0.69,0.7,0.12,4.58,"13h32m39.26s",203.1635632,"+75d00m25.57s",75.0071038,35.4438,-0.03,7.182,9.74727,"2023-09"
"361","HIP 67537 b","HIP 67537",1,1,"Radial Velocity",2017,"Multiple Observatories",2550,4.92,NA,4354.24918,13.7,"Mass",0.589,NA,NA,0,"K1 III",4985,NA,2.41,0.15,2.85,"13h50m19.40s",207.5808445,"-39d54m03.24s",-39.9008996,116.046,-0.03,4.196,6.17087,"2023-05"
"362","HIP 70849 b","HIP 70849",2,1,"Radial Velocity",2009,"La Silla Observatory",3649,3.99,NA,1430.22783,4.5,"Mass",0.65,NA,NA,0,"K7 V",NA,NA,0.65,NA,NA,"14h29m18.50s",217.3270762,"-46d27m52.86s",-46.464684,24.0572,-0.067,6.79,9.69796,"2023-08"
"363","HIP 81208 C b","HIP 81208 C",3,1,"Imaging",2023,"Paranal Observatory",104100,23.04,NA,4703.86042,14.8,"Mass",NA,NA,2050,0,"M",NA,NA,0.14,NA,NA,"16h35m13.8s",248.8075,"-35d43m29.13s",-35.7247583,147.533,NA,NA,NA,"2023-07"
"364","HIP 8152 b","HIP 8152",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",10.75101,0.092,0.228,7.8,0.02454,"Mass",0.14,88.9,855,0,"",5530,0.95,0.91,-0.09,NA,"01h44m50.22s",26.2092533,"-18d24m04.98s",-18.4013844,101.694,-0.03,8.449,9.90726,"2023-10"
"365","HIP 8152 c","HIP 8152",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",19.6053,0.138,0.221,9.4,0.02958,"Mass",0.28,39.9,699,0,"",5530,0.95,0.91,-0.09,NA,"01h44m50.22s",26.2092533,"-18d24m04.98s",-18.4013844,101.694,-0.03,8.449,9.90726,"2023-10"
"366","HIP 8541 b","HIP 8541",2,2,"Radial Velocity",2016,"Multiple Observatories",1585,2.8,NA,1811.62192,5.7,"Mass",0.122,NA,NA,0,"K2 III/ IV",4670,NA,1.17,-0.15,2.7,"01h50m06.53s",27.5271962,"-54d27m54.59s",-54.4651633,155.121,-0.03,5.29,7.56075,"2023-05"
"367","HIP 9618 b","HIP 9618",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",20.772907,0.1438,0.348,10,0.03146,"Mass",0.22,40.3,663,0,"",5609,0.97,1.02,NA,4.45,"02h03m37.20s",30.9050061,"+21d16m52.78s",21.2813274,67.5478,-0.03,7.559,9.02543,"2023-08"
"369","HIP 9618 c","HIP 9618",1,2,"Transit",2023,"Transiting Exoplanet Survey Satellite (TESS)",52.5636,0.268,0.298,7.9,0.02486,"Mass",0.12,10.7,503,0,"",5550,0.95,0.93,-0.1,NA,"02h03m37.20s",30.9050061,"+21d16m52.78s",21.2813274,67.5478,-0.03,7.559,9.02543,"2023-10"
"371","HIP 97233 b","HIP 97233",1,1,"Radial Velocity",2014,"Multiple Observatories",1054,2.447,NA,7182.922,22.6,"Mass",0.633,NA,NA,0,"K0/1 III",5020,NA,1.74,0.29,3.26,"19h45m41.31s",296.4221207,"-00d41m48.77s",-0.6968794,102.275,-0.03,5.09,7.07025,"2023-05"
"372","HN Lib b","HN Lib",1,1,"Radial Velocity",2023,"Calar Alto Observatory",36.116,0.1417,NA,5.46,0.01718,"Msini",0.079,0.5,234,0,"M4.0 V",3347,0.3,0.29,-0.18,4.76,"14h34m16.44s",218.5684823,"-12d31m01.22s",-12.5170062,6.24442,-0.026,5.939,9.87882,"2023-07"
"373","HR 5183 b","HR 5183",2,1,"Radial Velocity",2019,"Multiple Observatories",38350,22.8,NA,1052.01203,3.31,"Mass",0.875,NA,NA,0,"G0 V",5794,NA,1.07,0.1,4.02,"13h46m56.59s",206.7357992,"+06d20m59.64s",6.3498994,31.4607,-0.023,4.851,6.17464,"2023-05"
"374","HR 810 b","HR 810",1,1,"Radial Velocity",1999,"La Silla Observatory",332,NA,NA,1970.53612,6.2,"Mass",0.04,NA,NA,0,"",NA,NA,NA,NA,NA,"02h42m34.01s",40.6417178,"-50d47m57.65s",-50.7993484,17.3181,-0.03,4.138,5.25587,"2023-06"
"375","K2-107 b","K2-107",1,1,"Transit",2017,"K2",3.3139151,NA,NA,NA,NA,"",NA,NA,NA,0,"F9 IV",6030,1.78,1.3,0.1,4.07,"18h59m56.49s",284.985355,"-22d17m36.31s",-22.2934206,685.2,-0.103,11.21,12.7669,"2023-03"
"376","K2-110 b","K2-110",1,1,"Transit",2017,"K2",13.86375,0.10207,0.231,15.9,0.05003,"Mass",0.13,27.7,638,0,"",5010,0.71,0.74,-0.34,NA,"13h49m23.94s",207.3497402,"-12d17m05.71s",-12.2849182,116.474,-0.046,9.607,11.6627,"2023-04"
"377","K2-111 b","K2-111",1,2,"Transit",2017,"K2",5.3518,0.0565,0.162,5.58,0.01756,"Mass",0.1,490,1309,0,"",5775,1.25,0.84,-0.46,NA,"03h59m33.67s",59.8903081,"+21d17m54.69s",21.2985263,200.394,-0.034,9.377,10.9294,"2023-04"
"378","K2-111 c","K2-111",1,2,"Radial Velocity",2020,"Multiple Observatories",15.6805,0.11569,NA,11.08,0.03486,"Msini",0.071,NA,NA,0,"",5775,1.25,0.84,-0.46,NA,"03h59m33.67s",59.8903081,"+21d17m54.69s",21.2985263,200.394,-0.034,9.377,10.9294,"2023-04"
"379","K2-113 b","K2-113",1,1,"Transit",2017,"K2",5.8176015,NA,NA,NA,NA,"",NA,NA,NA,0,"G",5627,1.05,1.01,0.18,4.4,"01h17m47.85s",19.4493823,"+06d52m07.85s",6.8688469,635.722,-0.092,11.949,13.5039,"2023-03"
"380","K2-115 b","K2-115",1,1,"Transit",2017,"K2",20.2729861,NA,NA,NA,NA,"",0.14,NA,NA,0,"",5560,0.88,0.83,-0.22,4.46,"08h26m12.84s",126.5535002,"+12d16m54.66s",12.281851,413.591,-0.114,11.724,13.2,"2023-03"
"381","K2-116 b","K2-116",1,1,"Transit",2017,"K2",4.654879,NA,NA,NA,NA,"",NA,NA,NA,0,"",4348.35,0.67,0.69,NA,NA,"22h24m36.56s",336.1523363,"-11d34m45.55s",-11.5793181,49.3855,-0.03,7.875,10.3281,"2023-03"
"382","K2-12 b","K2-12",1,1,"Transit",2015,"K2",8.28246,0.0792,0.218,5.2,0.01636,"Mass",0.5,185,1026,0,"",5672,1.12,0.96,0,NA,"11h32m46.06s",173.1919022,"+02d14m40.85s",2.2446794,326.381,-0.103,10.605,12.0884,"2023-04"
"383","K2-121 b","K2-121",1,1,"Transit",2017,"K2",5.1857532,NA,NA,NA,NA,"",0.22,NA,NA,0,"",4471.38,0.77,0.71,NA,NA,"08h27m44.80s",126.9366624,"+17d34m45.58s",17.5793267,169.398,-0.08,10.616,12.9247,"2023-03"
"384","K2-131 b","K2-131",1,1,"Transit",2017,"K2",0.3693038,0.00936,0.151,7.9,0.02486,"Mass",0,4070,2223,0,"",5120,0.76,0.8,-0.04,NA,"12h11m00.34s",182.751404,"-09d45m54.86s",-9.7652392,152.509,-0.092,10.051,11.8999,"2023-04"
"385","K2-132 b","K2-132",1,1,"Transit",2017,"K2",9.172616,NA,NA,NA,NA,"",0.29,NA,NA,0,"",4840,3.85,1.08,-0.01,3.3,"12h08m39.90s",182.1662666,"-08d44m49.98s",-8.7472172,609.818,-0.069,9.54,11.64,"2023-03"
"386","K2-136 b","K2-136",2,3,"Transit",2017,"K2",7.9752,0.0707,0.09,4.3,0.01353,"Mass",0.14,33.5,610,0,"",4500,0.68,0.74,-0.02,4.68,"04h29m39.09s",67.4128615,"+22d52m57.24s",22.8825674,59.2474,-0.057,8.368,10.8545,"2023-04"
"387","K2-136 c","K2-136",2,3,"Transit",2017,"K2",17.30713,0.1185,0.268,18.1,0.05695,"Mass",0.047,11.91,470,0,"",4500,0.68,0.74,-0.02,4.68,"04h29m39.09s",67.4128615,"+22d52m57.24s",22.8825674,59.2474,-0.057,8.368,10.8545,"2023-04"
"389","K2-136 d","K2-136",2,3,"Transit",2017,"K2",25.575,0.1538,0.14,3,0.00944,"Mass",0.071,7.07,420,0,"",4500,0.68,0.74,-0.02,4.68,"04h29m39.09s",67.4128615,"+22d52m57.24s",22.8825674,59.2474,-0.057,8.368,10.8545,"2023-04"
"390","K2-140 b","K2-140",1,1,"Transit",2017,"K2",6.5692045,NA,NA,NA,NA,"",NA,NA,NA,0,"G5",5654,0.99,1,0.12,4.45,"12h32m32.96s",188.1373172,"-09d36m27.40s",-9.6076115,347.917,-0.092,10.995,12.4814,"2023-03"
"391","K2-141 b","K2-141",1,2,"Transit",2018,"K2",0.2803244,0.00747,0.135,4.97,0.01564,"Mass",0,3260,2103,0,"",4570,0.68,0.71,0,NA,"23h23m40.09s",350.9170464,"-01d11m21.06s",-1.1891827,61.8736,-0.023,8.401,10.7217,"2023-04"
"392","K2-141 c","K2-141",1,2,"Transit",2018,"K2",7.7485,0.0683,0.624,8,0.02517,"Mass",0.092,39.1,695,0,"",4570,0.68,0.71,0,NA,"23h23m40.09s",350.9170464,"-01d11m21.06s",-1.1891827,61.8736,-0.023,8.401,10.7217,"2023-04"
"393","K2-155 c","K2-155",1,3,"Transit",2018,"K2",13.853487,NA,NA,NA,NA,"",NA,NA,NA,0,"",3919,0.53,0.54,-0.42,4.73,"04h21m52.71s",65.469614,"+21d21m11.75s",21.3532633,72.7998,-0.114,9.496,12.2528,"2023-03"
"394","K2-167 b","K2-167",1,1,"Transit",2018,"K2",9.97748,0.091,0.205,6.5,0.02045,"Mass",0.47,317,1174,0,"",6011,1.49,1.01,-0.4,NA,"22h26m18.27s",336.5761233,"-18d00m41.99s",-18.011665,80.8994,-0.03,6.887,8.103581,"2023-04"
"395","K2-19 b","K2-19",1,3,"Transit",2015,"K2",7.920978,NA,NA,NA,NA,"",NA,NA,NA,1,"G9 V",5430,0.86,0.93,0.1,4.63,"11h39m50.46s",174.9602543,"+00d36m12.95s",0.603596,289.827,-0.092,11.161,12.8153,"2023-03"
"396","K2-198 b","K2-198",1,3,"Transit",2018,"K2",17.042849,NA,NA,NA,NA,"",NA,NA,NA,0,"",5262,0.78,0.84,-0.16,4.63,"13h15m22.48s",198.8436817,"-06d27m53.96s",-6.4649888,110.567,-0.015,9.228,10.9955,"2023-03"
"397","K2-198 d","K2-198",1,3,"Transit",2019,"K2",7.4500372,NA,NA,NA,NA,"",NA,NA,NA,0,"",5262,0.78,0.84,-0.16,4.63,"13h15m22.48s",198.8436817,"-06d27m53.96s",-6.4649888,110.567,-0.015,9.228,10.9955,"2023-03"
"398","K2-199 c","K2-199",1,2,"Transit",2018,"K2",7.3744828,NA,NA,NA,NA,"",NA,NA,NA,0,"",4681,0.67,0.71,-0.23,4.69,"13h55m36.35s",208.9014508,"-06d08m09.90s",-6.1360833,107.518,-0.114,9.625,11.9053,"2023-03"
"399","K2-2016-BLG-0005L b","K2-2016-BLG-0005L",1,1,"Microlensing",2023,"K2",4700,4.11,NA,368.68095,1.16,"Mass",NA,NA,NA,0,"",NA,NA,0.57,NA,NA,"17h59m31.16s",269.8798333,"-27d36m26.90s",-27.6074722,5260,NA,NA,NA,"2023-04"
"401","K2-222 b","K2-222",1,1,"Transit",2018,"K2",15.38857,0.1206,0.21,8.7,0.02737,"Mass",0.16,96,871,0,"",5942,1.11,0.99,-0.315,NA,"01h05m51.00s",16.4625203,"+11d45m13.38s",11.7537171,101.321,-0.004,8.105,9.36072,"2023-04"
"402","K2-232 b","K2-232",1,1,"Transit",2018,"K2",11.16844233,NA,NA,NA,NA,"",0.26,NA,NA,0,"",6154,1.16,1.19,0.1,4.38,"04h55m04.03s",73.7667927,"+18d39m15.56s",18.654323,130.72,-0.005,8.434,9.72626,"2023-03"
"403","K2-233 d","K2-233",1,3,"Transit",2018,"K2",24.36543,NA,NA,NA,NA,"",NA,NA,NA,0,"K3",4950,0.74,0.8,0.07,4.71,"15h21m55.18s",230.4799011,"-20d13m54.47s",-20.2317975,67.5062,-0.014,8.375,10.4191,"2023-03"
"404","K2-237 b","K2-237",1,1,"Transit",2018,"K2",2.18053435,NA,NA,NA,NA,"",NA,NA,NA,0,"F6 V",6257,1.43,1.28,0.14,4.24,"16h55m04.52s",253.7688479,"-28d42m38.10s",-28.7105836,314.995,-0.034,10.217,11.4668,"2023-03"
"405","K2-238 b","K2-238",1,1,"Transit",2018,"K2",3.2046909,NA,NA,NA,NA,"",NA,NA,NA,0,"G2 V",5630,1.59,1.19,0.34,4.11,"23h10m49.04s",347.7043164,"-07d51m27.21s",-7.8575592,537.963,-0.126,12.032,13.6635,"2023-03"
"406","K2-25 b","K2-25",1,1,"Transit",2015,"K2",3.48456248,NA,NA,NA,NA,"",0.27,NA,NA,0,"M4.5",3180,0.29,0.29,0.15,NA,"04h13m05.74s",63.2739346,"+15d14m51.73s",15.2477027,44.9565,-0.2,10.444,14.3817,"2023-03"
"407","K2-260 b","K2-260",1,1,"Transit",2018,"K2",2.62669768,NA,NA,NA,NA,"",NA,NA,NA,0,"F6 V",6367,1.69,1.39,-0.14,4.15,"05h07m28.16s",76.8673317,"+16d52m03.70s",16.8676948,663.834,-0.103,11.093,12.4667,"2023-03"
"408","K2-261 b","K2-261",1,1,"Transit",2018,"K2",11.6334758,NA,NA,NA,NA,"",0.39,NA,NA,0,"G7 IV/V",5537,1.65,1.1,0.36,4.21,"10h52m07.75s",163.0323119,"+00d29m35.40s",0.493167,213.283,-0.009,8.89,10.4594,"2023-03"
"409","K2-263 b","K2-263",1,1,"Transit",2018,"K2",50.818947,0.2573,0.215,14.9,0.04688,"Mass",0.15,8.17,470,0,"",5368,0.85,0.88,-0.08,NA,"08h38m43.71s",129.6821253,"+15d40m50.17s",15.6806039,162.481,-0.046,9.748,11.4055,"2023-04"
"410","K2-266 d","K2-266",2,4,"Transit",2018,"K2",14.6982,NA,NA,NA,NA,"",0.05,NA,NA,1,"",4285,0.7,0.69,-0.12,4.58,"10h31m44.56s",157.9356855,"+00d56m14.20s",0.9372782,77.5586,-0.046,8.897,11.3527,"2023-03"
"411","K2-284 b","K2-284",1,1,"Transit",2018,"K2",4.7948599,NA,NA,NA,NA,"",0.078,NA,NA,0,"",4140,0.61,0.63,0,4.67,"05h16m33.79s",79.1407971,"+20d15m17.65s",20.2549034,107.272,-0.206,10.058,12.8598,"2023-03"
"412","K2-29 b","K2-29",2,1,"Transit",2016,"K2",3.25883406,NA,NA,NA,NA,"",0.066,NA,NA,0,"G7 V",5358,0.86,0.94,0.16,4.54,"04h10m40.90s",62.670422,"+24d24m05.96s",24.4016558,178.475,-0.103,10.062,12.2008,"2023-03"
"413","K2-295 b","K2-295",1,1,"Transit",2018,"K2",4.02488968,NA,NA,NA,NA,"",NA,NA,NA,0,"K5 V",4444,0.7,0.74,0.14,4.63,"01h18m26.43s",19.6101417,"+06d49m00.22s",6.8167277,232.801,-0.0459,NA,13.5184,"2023-03"
"414","K2-3 b","K2-3",1,3,"Transit",2015,"K2",10.054626,0.0778,0.201,6.47,0.02036,"Mass",0.094,11.6,513,0,"",3835,0.6,0.62,-0.01,NA,"11h29m20.49s",172.3353708,"-01d27m18.49s",-1.4551364,44.0727,-0.009,8.561,11.4785,"2023-04"
"415","K2-3 c","K2-3",1,3,"Transit",2015,"K2",24.646582,0.1414,0.151,3.3,0.01038,"Mass",0.095,3.51,381,0,"",3835,0.6,0.62,-0.01,NA,"11h29m20.49s",172.3353708,"-01d27m18.49s",-1.4551364,44.0727,-0.009,8.561,11.4785,"2023-04"
"416","K2-3 d","K2-3",1,3,"Transit",2015,"K2",44.556456,0.2097,0.145,1.6,0.00503,"Mass",0.097,1.6,312,0,"",3835,0.6,0.62,-0.01,NA,"11h29m20.49s",172.3353708,"-01d27m18.49s",-1.4551364,44.0727,-0.009,8.561,11.4785,"2023-04"
"417","K2-30 b","K2-30",1,1,"Transit",2016,"K2",4.09847804,NA,NA,NA,NA,"",NA,NA,NA,0,"G6 V",5425,0.84,0.9,-0.15,4.54,"03h29m22.09s",52.3420548,"+22d17m57.66s",22.2993491,333.042,-0.092,11.088,13.2056,"2023-03"
"418","K2-31 b","K2-31",2,1,"Transit",2016,"K2",1.25784887,NA,NA,NA,NA,"",NA,NA,NA,0,"G7 V",5280,0.78,0.91,0.08,4.6,"16h21m45.73s",245.4405531,"-23d32m53.78s",-23.548273,110.527,-0.01,8.866,10.5371,"2023-03"
"419","K2-312 c","HD 80653",1,2,"Radial Velocity",2023,"Roque de los Muchachos Observatory",921.2,1.961,NA,1719.45168,5.41,"Msini",0.853,NA,NA,0,"",5959,1.22,1.18,0.255,NA,"09h21m21.38s",140.3390845,"+14d22m04.33s",14.3678691,109.86,-0.003,8.018,9.30733,"2023-04"
